ticker,obsolescence,convergence,patentomics
MSFT,-0.10,0.45,0.30
GOOGL,-0.05,0.50,0.35
AMZN,0.00,0.30,0.20
META,-0.05,0.35,0.25
ORCL,0.25,-0.10,0.05
CRM,0.45,-0.20,0.00
NOW,0.25,0.05,0.10
ADBE,0.40,-0.10,0.10
INTU,0.35,-0.10,0.05
ACN,0.45,-0.25,0.00
EPAM,0.50,-0.30,0.00
NVDA,-0.15,0.80,0.70
AMD,-0.05,0.65,0.45
AVGO,-0.05,0.60,0.50
TSM,-0.10,0.70,0.50
ASML,-0.15,0.75,0.55
AMAT,-0.05,0.55,0.35
LRCX,-0.05,0.55,0.35
KLAC,-0.05,0.60,0.40
COHR,0.00,0.55,0.30
LITE,0.00,0.60,0.30
VRT,-0.05,0.70,0.20
ETN,-0.05,0.55,0.10
PWR,0.00,0.45,0.05
CEG,0.00,0.40,0.00
VST,0.00,0.35,0.00
CCJ,0.00,0.30,0.00
BWXT,-0.05,0.40,0.10
TMO,-0.05,0.65,0.55
DHR,-0.05,0.60,0.50
RXRX,-0.10,0.75,0.70
CRSP,-0.05,0.60,0.65
ILMN,0.05,0.55,0.50
ADP,0.20,-0.10,0.00
PAYX,0.20,-0.10,0.00
GLOB,0.45,-0.25,0.00
